Waiting for GPS Fix
GPS Fix obtained at;12:59:35.000:000:000:;Date:7/2/2022
Coincidence;12:59:46.020:812:074:;
Coincidence;12:59:46.033:275:198:;
Coincidence;12:59:46.046:001:952:;
Coincidence;12:59:46.069:671:664:;
Coincidence;12:59:46.080:222:032:;
Coincidence;12:59:46.130:699:592:;
Coincidence;12:59:46.143:153:680:;
Coincidence;12:59:46.171:971:280:;
Coincidence;12:59:46.175:248:720:;
Coincidence;12:59:46.339:676:896:;
Coincidence;12:59:46.365:049:472:;
Coincidence;12:59:46.466:803:776:;
Coincidence;12:59:46.552:942:912:;
Coincidence;12:59:46.556:308:608:;
Coincidence;12:59:46.601:124:928:;
Coincidence;12:59:46.688:480:064:;
Coincidence;12:59:46.714:380:672:;
Coincidence;12:59:46.728:758:848:;
Coincidence;12:59:46.758:149:568:;
Coincidence;12:59:46.790:930:624:;
Coincidence;12:59:46.839:358:144:;
Coincidence;12:59:46.852:756:736:;
Coincidence;12:59:46.922:855:360:;
Coincidence;12:59:47.008:950:974:;
Coincidence;12:59:47.082:464:184:;
Coincidence;12:59:47.169:452:032:;
Coincidence;12:59:47.191:394:480:;
Coincidence;12:59:47.224:839:248:;
Coincidence;12:59:47.266:478:608:;
Coincidence;12:59:47.366:616:384:;
Coincidence;12:59:47.406:000:896:;
Coincidence;12:59:47.501:144:320:;
Coincidence;12:59:47.512:042:112:;
Coincidence;12:59:47.561:947:072:;
Coincidence;12:59:47.591:716:288:;
Coincidence;12:59:47.651:617:920:;
Coincidence;12:59:47.697:451:392:;
Coincidence;12:59:47.712:513:024:;
Coincidence;12:59:47.714:960:448:;
Coincidence;12:59:47.748:766:464:;
Coincidence;12:59:47.764:306:880:;
Coincidence;12:59:47.769:991:104:;
Coincidence;12:59:47.823:861:248:;
Coincidence;12:59:47.938:194:304:;
Coincidence;12:59:47.971:620:352:;
Coincidence;12:59:47.975:545:152:;
Coincidence;12:59:47.981:709:440:;
Coincidence;12:59:47.992:499:456:;
Coincidence;12:59:48.027:466:754:;
Coincidence;12:59:48.036:625:432:;
Coincidence;12:59:48.105:541:152:;
Coincidence;12:59:48.116:569:608:;
Coincidence;12:59:48.291:737:568:;
Coincidence;12:59:48.306:411:808:;
Coincidence;12:59:48.318:332:000:;
Coincidence;12:59:48.370:355:168:;
Coincidence;12:59:48.400:794:944:;
Coincidence;12:59:48.416:012:768:;
Coincidence;12:59:48.444:861:088:;
Coincidence;12:59:48.452:543:648:;
Coincidence;12:59:48.557:282:240:;
Coincidence;12:59:48.603:508:608:;
Coincidence;12:59:48.612:362:752:;
Coincidence;12:59:48.619:245:312:;
Coincidence;12:59:48.623:443:648:;
Coincidence;12:59:48.760:579:712:;
Coincidence;12:59:48.784:800:320:;
Coincidence;12:59:48.801:358:848:;
Coincidence;12:59:48.890:639:360:;
Coincidence;12:59:48.986:679:488:;
Coincidence;12:59:49.040:264:996:;
Coincidence;12:59:49.045:050:160:;
Coincidence;12:59:49.054:266:292:;
Coincidence;12:59:49.087:717:768:;
Coincidence;12:59:49.172:419:104:;
Coincidence;12:59:49.182:573:040:;
Coincidence;12:59:49.225:295:344:;
Coincidence;12:59:49.230:379:376:;
Coincidence;12:59:49.291:875:136:;
Coincidence;12:59:49.313:975:008:;
Coincidence;12:59:49.317:759:584:;
Coincidence;12:59:49.404:573:760:;
Coincidence;12:59:49.509:106:144:;
Coincidence;12:59:49.525:992:832:;
Coincidence;12:59:49.549:601:472:;
Coincidence;12:59:49.559:102:272:;
Coincidence;12:59:49.662:692:800:;
Coincidence;12:59:49.685:864:768:;
Coincidence;12:59:49.714:759:040:;
Coincidence;12:59:49.732:696:704:;
Coincidence;12:59:49.791:372:352:;
Coincidence;12:59:49.836:884:736:;
Coincidence;12:59:49.849:363:968:;
Coincidence;12:59:49.892:836:864:;
Coincidence;12:59:49.981:437:120:;
Coincidence;12:59:50.038:764:356:;
Coincidence;12:59:50.209:218:272:;
Coincidence;12:59:50.252:854:304:;
Coincidence;12:59:50.267:431:680:;
Coincidence;12:59:50.292:183:968:;
Coincidence;12:59:50.319:271:616:;
Coincidence;12:59:50.335:451:712:;
Coincidence;12:59:50.410:850:656:;
Coincidence;12:59:50.446:497:600:;
Coincidence;12:59:50.462:996:160:;
Coincidence;12:59:50.559:493:824:;
Coincidence;12:59:50.593:286:144:;
Coincidence;12:59:50.595:193:600:;
Coincidence;12:59:50.730:623:808:;
Coincidence;12:59:50.742:856:320:;
Coincidence;12:59:50.819:816:192:;
Coincidence;12:59:50.822:305:280:;
Coincidence;12:59:50.935:097:536:;
Coincidence;12:59:50.938:115:776:;
Coincidence;12:59:51.039:360:144:;
Coincidence;12:59:51.199:375:200:;
Coincidence;12:59:51.202:849:552:;
Coincidence;12:59:51.217:443:600:;
Coincidence;12:59:51.364:572:096:;
Coincidence;12:59:51.382:016:352:;
Coincidence;12:59:51.471:220:000:;
Coincidence;12:59:51.472:479:168:;
Coincidence;12:59:51.496:458:912:;
Coincidence;12:59:51.508:475:808:;
Coincidence;12:59:51.552:586:304:;
Coincidence;12:59:51.593:440:896:;
Coincidence;12:59:51.597:588:992:;
Coincidence;12:59:51.652:735:872:;
Coincidence;12:59:51.666:877:760:;
Coincidence;12:59:51.687:245:568:;
Coincidence;12:59:51.759:052:224:;
Coincidence;12:59:51.815:048:192:;
Coincidence;12:59:51.878:531:072:;
Coincidence;12:59:51.984:200:384:;
Coincidence;12:59:52.013:026:518:;
Coincidence;12:59:52.078:434:048:;
Coincidence;12:59:52.099:097:808:;
Coincidence;12:59:52.106:371:144:;
Coincidence;12:59:52.162:585:008:;
Coincidence;12:59:52.203:259:360:;
Coincidence;12:59:52.228:941:760:;
Coincidence;12:59:52.261:554:592:;
Coincidence;12:59:52.277:894:880:;
Coincidence;12:59:52.281:476:768:;
Coincidence;12:59:52.346:061:920:;
Coincidence;12:59:52.398:765:408:;
Coincidence;12:59:52.413:286:496:;
Coincidence;12:59:52.474:012:288:;
Coincidence;12:59:52.636:174:080:;
Coincidence;12:59:52.689:769:472:;
Coincidence;12:59:52.697:151:680:;
Coincidence;12:59:52.767:515:840:;
Coincidence;12:59:52.779:472:512:;
Coincidence;12:59:52.812:364:480:;
Coincidence;12:59:52.817:498:560:;
Coincidence;12:59:52.846:830:144:;
Coincidence;12:59:52.879:604:544:;
Coincidence;12:59:52.929:794:752:;
Coincidence;12:59:52.965:740:928:;
Coincidence;12:59:53.028:921:124:;
Coincidence;12:59:53.039:527:644:;
Coincidence;12:59:53.092:120:584:;
Coincidence;12:59:53.111:189:672:;
Coincidence;12:59:53.113:803:576:;
Coincidence;12:59:53.135:836:208:;
Coincidence;12:59:53.199:826:864:;
Coincidence;12:59:53.313:394:368:;
Coincidence;12:59:53.324:221:632:;
Coincidence;12:59:53.333:021:440:;
Coincidence;12:59:53.365:097:568:;
Coincidence;12:59:53.373:052:416:;
Coincidence;12:59:53.404:904:192:;
Coincidence;12:59:53.417:732:736:;
Coincidence;12:59:53.454:979:360:;
Coincidence;12:59:53.456:710:752:;
Coincidence;12:59:53.479:897:664:;
Coincidence;12:59:53.572:420:736:;
Coincidence;12:59:53.724:842:496:;
Coincidence;12:59:53.766:846:976:;
Coincidence;12:59:53.903:823:680:;
Coincidence;12:59:53.918:757:120:;
Coincidence;12:59:54.027:004:204:;
Coincidence;12:59:54.030:174:946:;
Coincidence;12:59:54.118:002:648:;
Coincidence;12:59:54.145:782:096:;
Coincidence;12:59:54.221:878:512:;
Coincidence;12:59:54.274:317:120:;
Coincidence;12:59:54.296:440:096:;
Coincidence;12:59:54.300:297:856:;
Coincidence;12:59:54.338:886:528:;
Coincidence;12:59:54.391:686:112:;
Coincidence;12:59:54.403:398:176:;
Coincidence;12:59:54.420:071:872:;
Coincidence;12:59:54.434:404:640:;
Coincidence;12:59:54.588:224:000:;
Coincidence;12:59:54.606:542:080:;
Coincidence;12:59:54.661:531:776:;
Coincidence;12:59:54.673:139:648:;
Coincidence;12:59:54.680:442:176:;
Coincidence;12:59:54.851:066:560:;
Coincidence;12:59:54.924:948:032:;
Coincidence;12:59:54.963:836:096:;
Coincidence;12:59:54.982:266:752:;
Coincidence;12:59:54.990:349:824:;
Coincidence;12:59:54.996:664:384:;
Coincidence;12:59:55.003:736:610:;
Coincidence;12:59:55.079:965:168:;
Coincidence;12:59:55.088:233:256:;
Coincidence;12:59:55.140:078:672:;
Coincidence;12:59:55.155:314:080:;
Coincidence;12:59:55.157:666:288:;
Coincidence;12:59:55.242:989:440:;
Coincidence;12:59:55.273:234:976:;
Coincidence;12:59:55.314:692:192:;
Coincidence;12:59:55.345:767:968:;
Coincidence;12:59:55.409:352:640:;
Coincidence;12:59:55.417:430:560:;
Coincidence;12:59:55.450:996:448:;
Coincidence;12:59:55.453:655:744:;
Coincidence;12:59:55.506:073:760:;
Coincidence;12:59:55.531:000:736:;
Coincidence;12:59:55.588:782:528:;
Coincidence;12:59:55.625:563:200:;
Coincidence;12:59:55.707:290:304:;
Coincidence;12:59:55.750:238:656:;
Coincidence;12:59:55.779:488:448:;
Coincidence;12:59:55.934:268:864:;
Coincidence;12:59:55.938:257:600:;
Coincidence;12:59:55.988:555:392:;
Coincidence;12:59:56.035:640:216:;
Coincidence;12:59:56.048:218:508:;
Coincidence;12:59:56.097:333:832:;
Coincidence;12:59:56.112:322:704:;
Coincidence;12:59:56.119:017:648:;
Coincidence;12:59:56.143:665:840:;
Coincidence;12:59:56.156:354:752:;
Coincidence;12:59:56.159:891:808:;
Coincidence;12:59:56.167:762:112:;
Coincidence;12:59:56.212:912:096:;
Coincidence;12:59:56.250:823:248:;
Coincidence;12:59:56.258:462:480:;
Coincidence;12:59:56.261:415:696:;
Coincidence;12:59:56.319:892:000:;
Coincidence;12:59:56.535:527:552:;
Coincidence;12:59:56.564:408:128:;
Coincidence;12:59:56.607:455:808:;
Coincidence;12:59:56.641:096:128:;
Coincidence;12:59:56.714:818:048:;
Coincidence;12:59:56.722:847:744:;
Coincidence;12:59:56.873:335:552:;
Coincidence;12:59:56.888:726:272:;
Coincidence;12:59:56.909:373:376:;
Coincidence;12:59:56.930:344:896:;
Coincidence;12:59:56.944:174:464:;
Coincidence;12:59:56.976:393:088:;
Coincidence;12:59:56.982:920:704:;
Coincidence;12:59:57.067:352:064:;
Coincidence;12:59:57.082:553:744:;
Coincidence;12:59:57.202:945:696:;
Coincidence;12:59:57.224:305:504:;
Coincidence;12:59:57.243:062:944:;
Coincidence;12:59:57.271:222:144:;
Coincidence;12:59:57.316:706:848:;
Coincidence;12:59:57.372:602:400:;
Coincidence;12:59:57.411:419:712:;
Coincidence;12:59:57.472:428:992:;
Coincidence;12:59:57.516:587:840:;
Coincidence;12:59:57.670:558:016:;
Coincidence;12:59:57.673:180:736:;
Coincidence;12:59:57.675:936:704:;
Coincidence;12:59:57.688:216:896:;
Coincidence;12:59:57.725:707:008:;
Coincidence;12:59:57.743:709:568:;
Coincidence;12:59:57.753:161:408:;
Coincidence;12:59:57.775:210:176:;
Coincidence;12:59:57.827:170:048:;
Coincidence;12:59:57.868:987:392:;
Coincidence;12:59:57.925:697:024:;
Coincidence;12:59:57.972:774:912:;
Coincidence;12:59:57.991:674:432:;
Coincidence;12:59:58.087:663:312:;
Coincidence;12:59:58.100:368:280:;
Coincidence;12:59:58.107:841:392:;
Coincidence;12:59:58.149:370:816:;
Coincidence;12:59:58.167:884:336:;
Coincidence;12:59:58.216:684:144:;
Coincidence;12:59:58.301:574:720:;
Coincidence;12:59:58.323:549:472:;
Coincidence;12:59:58.394:686:112:;
Coincidence;12:59:58.403:980:672:;
Coincidence;12:59:58.509:534:720:;
Coincidence;12:59:58.557:932:032:;
Coincidence;12:59:58.600:939:200:;
Coincidence;12:59:58.614:478:208:;
Coincidence;12:59:58.692:115:840:;
Coincidence;12:59:58.777:965:632:;
Coincidence;12:59:58.787:450:688:;
Coincidence;12:59:58.790:542:976:;
Coincidence;12:59:58.977:129:088:;
Coincidence;12:59:59.041:131:976:;
Coincidence;12:59:59.075:290:544:;
Coincidence;12:59:59.076:966:520:;
Coincidence;12:59:59.170:985:392:;
Coincidence;12:59:59.188:519:168:;
Coincidence;12:59:59.225:672:640:;
Coincidence;12:59:59.357:052:416:;
Coincidence;12:59:59.362:715:584:;
Coincidence;12:59:59.369:325:824:;
Coincidence;12:59:59.407:649:120:;
Coincidence;12:59:59.457:559:680:;
Coincidence;12:59:59.463:049:920:;
Coincidence;12:59:59.494:342:432:;
Coincidence;12:59:59.502:244:896:;
Coincidence;12:59:59.510:724:512:;
Coincidence;12:59:59.526:916:384:;
Coincidence;12:59:59.628:911:296:;
Coincidence;12:59:59.637:096:256:;
Coincidence;12:59:59.675:443:584:;
Coincidence;12:59:59.791:926:272:;
Coincidence;12:59:59.816:320:704:;
Coincidence;12:59:59.821:312:704:;
Coincidence;12:59:59.826:835:968:;
Coincidence;12:59:59.860:497:152:;
Coincidence;12:59:59.891:724:544:;
Coincidence;12:59:59.967:980:032:;
Coincidence;12:59:59.996:261:568:;
Coincidence;13:00:00.089:609:808:;
Coincidence;13:00:00.098:660:904:;
Coincidence;13:00:00.107:588:816:;
Coincidence;13:00:00.169:942:528:;
Coincidence;13:00:00.188:761:824:;
Coincidence;13:00:00.302:923:392:;
Coincidence;13:00:00.308:105:440:;
Coincidence;13:00:00.310:787:264:;
Coincidence;13:00:00.368:458:656:;
Coincidence;13:00:00.402:380:512:;
Coincidence;13:00:00.426:224:704:;
Coincidence;13:00:00.440:851:904:;
Coincidence;13:00:00.443:322:272:;
Coincidence;13:00:00.454:265:408:;
Coincidence;13:00:00.493:365:664:;
Coincidence;13:00:00.588:883:968:;
Coincidence;13:00:00.599:602:880:;
Coincidence;13:00:00.696:407:936:;
Coincidence;13:00:00.725:204:544:;
Coincidence;13:00:00.733:739:072:;
Coincidence;13:00:00.757:350:464:;
Coincidence;13:00:00.795:654:848:;
Coincidence;13:00:00.819:817:216:;
Coincidence;13:00:00.846:707:904:;
Coincidence;13:00:00.926:360:448:;
Coincidence;13:00:00.965:349:760:;
Coincidence;13:00:00.974:682:048:;
Coincidence;13:00:01.017:632:984:;
Coincidence;13:00:01.066:119:252:;
Coincidence;13:00:01.073:656:832:;
Coincidence;13:00:01.085:086:304:;
Coincidence;13:00:01.115:392:272:;
Coincidence;13:00:01.343:730:592:;
Coincidence;13:00:01.352:888:256:;
Coincidence;13:00:01.458:124:896:;
Coincidence;13:00:01.488:088:288:;
Coincidence;13:00:01.604:715:904:;
Coincidence;13:00:01.616:978:560:;
Coincidence;13:00:01.687:674:176:;
Coincidence;13:00:01.729:488:448:;
Coincidence;13:00:01.731:954:880:;
Coincidence;13:00:01.796:959:424:;
Coincidence;13:00:01.870:650:304:;
Coincidence;13:00:01.926:138:944:;
Coincidence;13:00:01.929:853:824:;
Coincidence;13:00:02.013:875:622:;
Coincidence;13:00:02.030:894:480:;
Coincidence;13:00:02.071:499:384:;
Coincidence;13:00:02.102:950:064:;
Coincidence;13:00:02.172:823:456:;
Coincidence;13:00:02.192:883:472:;
Coincidence;13:00:02.212:618:608:;
Coincidence;13:00:02.253:849:904:;
Coincidence;13:00:02.268:739:008:;
Coincidence;13:00:02.281:630:976:;
Coincidence;13:00:02.296:989:824:;
Coincidence;13:00:02.303:231:840:;
Coincidence;13:00:02.320:288:640:;
Coincidence;13:00:02.346:492:800:;
Coincidence;13:00:02.473:153:408:;
Coincidence;13:00:02.511:346:304:;
Coincidence;13:00:02.578:505:472:;
Coincidence;13:00:02.626:439:040:;
Coincidence;13:00:02.648:975:488:;
Coincidence;13:00:02.661:049:152:;
Coincidence;13:00:02.712:789:952:;
Coincidence;13:00:02.735:992:768:;
Coincidence;13:00:02.809:653:440:;
Coincidence;13:00:02.834:824:384:;
Coincidence;13:00:02.858:242:624:;
Coincidence;13:00:02.859:391:360:;
Coincidence;13:00:02.887:566:656:;
Coincidence;13:00:02.909:391:104:;
Coincidence;13:00:02.915:529:472:;
Coincidence;13:00:02.935:952:000:;
Coincidence;13:00:02.972:795:648:;
Coincidence;13:00:02.975:635:136:;
Coincidence;13:00:02.978:212:096:;
Coincidence;13:00:03.002:412:224:;
Coincidence;13:00:03.033:637:056:;
Coincidence;13:00:03.078:878:888:;
Coincidence;13:00:03.107:310:168:;
Coincidence;13:00:03.128:857:960:;
Coincidence;13:00:03.158:356:352:;
Coincidence;13:00:03.212:370:928:;
Coincidence;13:00:03.216:487:376:;
Coincidence;13:00:03.325:670:304:;
Coincidence;13:00:03.362:554:528:;
Coincidence;13:00:03.417:958:848:;
Coincidence;13:00:03.483:695:200:;
Coincidence;13:00:03.491:684:704:;
Coincidence;13:00:03.507:135:712:;
Coincidence;13:00:03.693:780:480:;
Coincidence;13:00:03.739:342:464:;
Coincidence;13:00:03.748:308:800:;
Coincidence;13:00:03.799:352:768:;
Coincidence;13:00:03.884:366:784:;
Coincidence;13:00:03.908:749:952:;
Coincidence;13:00:03.915:897:280:;
Coincidence;13:00:03.922:194:752:;
Coincidence;13:00:03.934:746:304:;
Coincidence;13:00:03.957:397:248:;
Coincidence;13:00:04.044:237:364:;
Coincidence;13:00:04.058:136:188:;
Coincidence;13:00:04.115:329:056:;
Coincidence;13:00:04.206:351:632:;
Coincidence;13:00:04.232:587:424:;
Coincidence;13:00:04.265:444:976:;
Coincidence;13:00:04.279:696:672:;
Coincidence;13:00:04.520:237:248:;
Coincidence;13:00:04.571:602:048:;
Coincidence;13:00:04.614:041:024:;
Coincidence;13:00:04.633:329:600:;
Coincidence;13:00:04.717:174:848:;
Coincidence;13:00:04.723:727:424:;
Coincidence;13:00:04.737:492:352:;
Coincidence;13:00:04.786:476:992:;
Coincidence;13:00:04.812:970:048:;
Coincidence;13:00:04.898:058:176:;
Coincidence;13:00:04.941:544:192:;
Coincidence;13:00:05.041:173:196:;
Coincidence;13:00:05.043:303:556:;
Coincidence;13:00:05.079:516:544:;
Coincidence;13:00:05.104:126:104:;
Coincidence;13:00:05.131:507:408:;
Coincidence;13:00:05.149:980:208:;
Coincidence;13:00:05.237:279:776:;
Coincidence;13:00:05.288:097:248:;
Coincidence;13:00:05.388:160:736:;
Coincidence;13:00:05.411:680:832:;
Coincidence;13:00:05.418:567:840:;
Coincidence;13:00:05.423:060:384:;
Coincidence;13:00:05.452:137:344:;
Coincidence;13:00:05.504:143:008:;
Coincidence;13:00:05.730:356:288:;
Coincidence;13:00:05.749:608:448:;
Coincidence;13:00:05.763:145:856:;
Coincidence;13:00:05.795:193:280:;
Coincidence;13:00:05.828:216:640:;
Coincidence;13:00:05.841:148:160:;
Coincidence;13:00:05.847:298:432:;
Coincidence;13:00:05.868:246:848:;
Coincidence;13:00:05.922:511:232:;
Coincidence;13:00:05.951:493:888:;
Coincidence;13:00:06.027:418:726:;
Coincidence;13:00:06.078:634:080:;
Coincidence;13:00:06.089:159:616:;
Coincidence;13:00:06.126:241:664:;
Coincidence;13:00:06.151:272:160:;
Coincidence;13:00:06.183:312:432:;
Coincidence;13:00:06.211:596:352:;
Coincidence;13:00:06.267:918:832:;
Coincidence;13:00:06.390:128:960:;
Coincidence;13:00:06.403:844:512:;
Coincidence;13:00:06.407:972:320:;
Coincidence;13:00:06.466:129:056:;
Coincidence;13:00:06.477:316:192:;
Coincidence;13:00:06.488:625:088:;
Coincidence;13:00:06.510:314:240:;
Coincidence;13:00:06.598:033:216:;
Coincidence;13:00:06.600:537:088:;
Coincidence;13:00:06.867:794:496:;
Coincidence;13:00:06.872:049:088:;
